Household_ID,Average_Daily_Usage_kWh,Peak_Hour_Usage_Percent,Night_Usage_Percent,Weekend_to_Weekday_Ratio,Maximum_Demand_kW,Monthly_Bill_INR,Power_Cut_Complaints_Per_Year
HH-0219,6.11,26.5,20.2,1.04,2.1,843.0,4
HH-0756,28.97,46.9,25.5,1.21,8.21,4513.0,3
HH-0086,5.75,31.3,21.6,1.12,1.79,676.0,2
HH-0211,6.48,14.9,13.8,1.08,2.96,709.0,1
HH-0348,15.13,54.0,15.0,1.1,3.48,2073.0,1
HH-0680,30.98,47.1,21.6,1.19,8.0,4487.0,0
HH-0238,14.22,54.8,11.5,1.17,4.18,1937.0,2
HH-0041,7.25,34.4,22.7,1.1,1.73,724.0,2
HH-0128,5.73,29.8,24.0,0.87,1.32,660.0,1
HH-0109,6.93,27.2,13.6,1.02,1.32,817.0,0
HH-0400,13.16,56.6,13.2,1.18,4.87,1739.0,0
HH-0574,20.05,30.8,46.3,0.95,5.8,2875.0,4
HH-0556,19.24,24.9,45.0,0.91,6.51,2653.0,3
HH-0825,29.27,49.0,30.0,1.31,8.67,4387.0,4
HH-0384,14.84,51.7,23.6,1.01,3.23,2203.0,1
HH-0183,7.01,27.1,18.8,1.08,1.6,1010.0,3
HH-0807,31.99,39.0,27.1,1.32,8.68,4587.0,2
HH-0142,5.75,29.3,12.1,1.02,2.0,1113.0,1
HH-0332,12.36,59.4,12.4,1.11,4.59,2116.0,0
HH-0452,14.62,56.4,15.2,1.09,4.35,2173.0,0
HH-0792,32.33,42.9,24.1,1.12,7.98,5096.0,2
HH-0564,19.78,23.6,41.2,0.99,5.71,2943.0,1
HH-0773,31.27,48.4,26.8,1.17,7.98,4661.0,2
HH-0366,12.6,54.5,13.5,1.12,3.71,1831.0,1
HH-0504,24.6,23.6,37.2,0.96,6.2,3255.0,0
HH-0393,13.85,53.2,9.4,1.07,4.49,1660.0,0
HH-0864,34.39,43.6,28.0,1.19,9.31,5101.0,1
HH-0322,15.47,54.3,19.5,1.11,3.7,2035.0,1
HH-0126,6.45,26.4,17.9,1.06,1.95,741.0,1
HH-0636,22.35,27.9,47.0,1.03,5.58,3098.0,0
HH-0186,7.37,28.2,20.9,0.98,2.27,691.0,1
HH-0262,11.95,55.8,19.3,0.98,4.61,1844.0,0
HH-0273,16.54,48.6,12.5,1.1,4.4,2057.0,1
HH-0311,15.13,49.1,13.6,1.19,4.11,2123.0,3
HH-0579,19.38,29.8,41.0,0.91,5.12,2473.0,0
HH-0428,14.22,50.4,9.6,1.06,4.26,2063.0,0
HH-0420,16.66,46.5,11.7,1.01,4.36,2003.0,2
HH-0378,13.97,48.1,15.8,1.09,4.54,2198.0,1
HH-0867,35.35,46.7,22.4,1.06,8.6,5147.0,1
HH-0598,19.45,24.5,46.7,0.85,4.59,2711.0,3
HH-0134,7.13,25.4,20.0,1.18,1.48,787.0,0
HH-0648,18.55,29.7,44.0,0.92,4.71,3080.0,1
HH-0104,6.51,23.2,14.0,1.05,1.12,353.0,2
HH-0726,27.05,47.1,25.7,1.23,9.13,4657.0,1
HH-0336,15.46,51.5,15.4,1.14,3.93,2311.0,0
HH-0154,6.96,29.4,24.9,1.12,1.38,446.0,1
HH-0861,32.08,42.9,24.7,1.17,8.12,4808.0,3
HH-0296,12.55,53.3,15.1,1.11,4.42,1948.0,1
HH-0318,13.01,51.4,20.8,1.16,3.52,2096.0,1
HH-0265,13.9,50.2,11.8,1.12,3.32,2221.0,2
HH-0612,22.91,29.1,39.5,0.78,5.65,3177.0,3
HH-0611,18.97,35.6,38.8,0.93,6.42,2701.0,1
HH-0032,6.28,26.6,16.4,1.02,2.36,1126.0,1
HH-0764,28.44,49.4,25.0,1.12,8.78,4324.0,3
HH-0793,34.16,37.5,22.2,1.08,8.95,4886.0,1
HH-0843,29.86,52.1,26.8,1.32,8.34,4354.0,4
HH-0361,12.92,45.2,15.9,0.98,4.4,2038.0,0
HH-0197,5.76,18.2,24.9,0.93,1.54,792.0,1
HH-0568,22.04,28.4,48.8,0.77,5.25,2961.0,1
HH-0736,36.6,50.9,27.9,1.0,7.92,5106.0,0
HH-0364,15.19,56.8,12.6,1.09,4.67,2154.0,0
HH-0252,14.86,55.3,16.5,1.16,5.18,1981.0,1
HH-0102,7.88,35.0,13.8,1.11,2.14,914.0,2
HH-0012,6.44,34.8,13.5,1.01,0.99,954.0,2
HH-0808,34.82,50.5,24.0,1.08,8.56,5186.0,1
HH-0703,33.02,42.7,24.0,1.3,8.41,5097.0,4
HH-0896,30.32,56.0,23.0,1.24,8.61,4611.0,0
HH-0375,13.18,50.1,9.3,1.12,3.99,2260.0,1
HH-0591,14.33,27.3,40.4,0.94,6.01,2085.0,2
HH-0475,22.04,30.9,41.8,0.93,5.24,3128.0,1
HH-0456,14.02,54.4,16.1,1.13,3.94,1966.0,1
HH-0821,31.69,49.4,26.7,1.25,8.27,4572.0,4
HH-0613,17.56,31.1,43.9,0.88,6.39,2329.0,2
HH-0602,18.51,40.0,42.2,0.88,6.25,2623.0,3
HH-0344,15.5,48.2,17.0,1.08,3.39,2048.0,6
HH-0719,28.93,48.1,24.7,1.15,7.6,4733.0,1
HH-0742,32.67,42.9,32.0,1.26,9.0,4702.0,5
HH-0060,7.84,25.8,12.4,0.99,1.09,642.0,0
HH-0160,5.4,26.9,15.3,1.12,2.43,776.0,0
HH-0510,16.18,31.2,43.9,0.97,5.99,2477.0,2
HH-0485,21.73,31.4,47.1,0.86,5.26,3113.0,4
HH-0706,30.5,47.8,22.5,1.14,8.12,4833.0,2
HH-0342,13.67,55.9,18.4,1.14,5.43,1791.0,1
HH-0319,15.87,50.6,13.6,1.11,4.05,1931.0,1
HH-0224,7.54,33.3,18.4,1.1,1.28,977.0,0
HH-0606,19.21,34.2,41.9,0.95,4.42,3126.0,1
HH-0866,28.51,43.2,23.0,1.16,7.59,4709.0,2
HH-0368,17.21,49.4,11.6,1.14,3.79,2619.0,1
HH-0547,22.07,34.2,39.3,0.84,6.98,3041.0,1
HH-0655,21.03,29.8,37.3,0.98,4.73,2832.0,2
HH-0155,6.2,33.6,19.2,1.01,1.12,831.0,1
HH-0847,30.15,49.9,25.9,1.1,8.08,4637.0,1
HH-0220,7.77,28.1,15.4,1.12,2.04,898.0,0
HH-0795,28.13,41.3,19.6,1.27,8.5,4226.0,1
HH-0833,33.33,45.8,25.6,1.2,8.8,5139.0,2
HH-0206,7.22,35.5,11.9,1.12,1.74,770.0,0
HH-0237,14.66,51.1,17.9,1.1,4.52,1928.0,2
HH-0796,32.98,45.1,24.1,1.14,8.33,5030.0,3
HH-0169,6.48,32.2,23.2,0.99,2.23,715.0,0
HH-0717,32.61,43.8,28.2,1.13,7.21,4984.0,2
HH-0811,31.13,44.8,21.4,1.18,9.04,4828.0,1
HH-0693,34.1,42.0,24.5,1.01,8.46,5029.0,3
HH-0079,6.73,20.2,17.7,0.97,1.26,727.0,2
HH-0546,23.22,24.0,42.0,0.95,5.69,3365.0,0
HH-0253,12.97,44.9,15.5,0.96,3.39,1485.0,1
HH-0352,17.29,55.8,15.4,1.13,4.31,2248.0,1
HH-0621,18.94,32.4,40.2,0.92,6.75,2570.0,2
HH-0597,20.42,25.4,41.6,0.85,5.21,3029.0,3
HH-0316,15.26,51.5,8.3,1.14,3.25,2476.0,2
HH-0779,29.22,46.4,33.4,1.33,8.52,4652.0,0
HH-0536,20.39,21.4,40.3,0.93,5.81,3001.0,4
HH-0679,30.78,47.5,23.6,1.15,8.19,4341.0,4
HH-0474,19.79,34.4,38.3,0.98,5.36,2906.0,2
HH-0658,19.75,25.4,46.0,0.96,6.37,3084.0,2
HH-0848,25.73,50.3,24.0,1.18,9.39,3694.0,2
HH-0708,27.21,39.3,29.3,1.15,8.34,4099.0,2
HH-0257,15.86,46.5,15.3,1.1,3.94,2169.0,1
HH-0587,21.63,37.4,42.5,0.98,5.92,3289.0,2
HH-0317,14.86,49.0,24.6,1.18,4.32,2351.0,0
HH-0031,7.19,35.6,18.5,1.16,1.78,1141.0,1
HH-0082,6.82,34.5,13.6,0.99,1.84,863.0,2
HH-0663,18.92,31.2,37.5,0.85,5.04,2692.0,4
HH-0749,26.57,49.6,30.3,1.21,9.23,4111.0,2
HH-0320,12.9,49.2,10.5,1.16,4.77,1831.0,1
HH-0006,6.68,32.5,16.9,1.09,1.49,970.0,1
HH-0879,39.23,42.7,22.8,1.09,8.38,5919.0,1
HH-0654,20.64,24.4,40.3,1.08,5.47,2721.0,0
HH-0889,29.15,42.2,29.6,1.08,9.6,4728.0,0
HH-0403,11.22,54.2,14.0,1.15,4.17,1742.0,1
HH-0022,6.33,28.1,13.8,1.0,1.45,780.0,0
HH-0005,6.7,23.4,20.2,1.0,1.86,959.0,2
HH-0827,29.63,43.0,24.8,1.18,8.73,4463.0,1
HH-0887,30.82,47.2,23.6,1.21,9.17,4685.0,1
HH-0777,29.75,56.1,24.1,0.98,7.07,4529.0,3
HH-0390,15.76,51.6,12.4,1.03,4.31,2297.0,1
HH-0251,14.57,55.7,14.6,1.08,3.7,2039.0,2
HH-0004,6.27,34.3,12.7,1.11,2.36,1154.0,3
HH-0395,13.65,58.9,17.0,1.08,4.93,1931.0,0
HH-0753,30.07,46.4,25.9,1.17,7.89,4545.0,2
HH-0723,33.56,48.1,23.2,1.31,9.07,5110.0,2
HH-0187,7.43,24.0,24.0,1.02,1.19,1230.0,1
HH-0029,7.48,28.0,23.8,1.24,1.8,1165.0,1
HH-0275,12.66,50.5,13.4,1.2,5.22,1871.0,0
HH-0794,31.3,45.9,29.2,1.17,8.25,4823.0,1
HH-0541,19.7,32.0,39.8,0.9,6.71,2716.0,2
HH-0545,18.36,30.7,38.3,0.81,5.78,2712.0,2
HH-0740,29.25,46.6,24.6,0.95,7.92,4396.0,2
HH-0221,6.97,31.5,15.6,1.11,3.19,851.0,1
HH-0743,26.41,40.9,30.9,1.26,7.97,4083.0,1
HH-0098,6.68,31.1,14.4,1.09,1.12,694.0,1
HH-0772,25.24,47.0,30.2,1.18,8.77,4124.0,1
HH-0230,14.65,49.5,15.4,1.12,4.37,1685.0,2
HH-0518,18.63,26.9,40.8,0.95,5.56,2652.0,1
HH-0662,21.89,28.2,39.4,0.93,5.18,3440.0,1
HH-0835,34.67,48.1,28.1,1.23,8.82,5178.0,3
HH-0354,14.21,52.0,18.2,1.06,3.76,2234.0,2
HH-0874,31.77,44.6,20.0,1.29,9.53,4630.0,1
HH-0330,14.93,52.2,17.4,1.11,3.8,2034.0,1
HH-0720,36.41,51.1,19.8,1.11,8.34,5290.0,1
HH-0287,15.27,49.6,15.9,1.13,3.96,2368.0,1
HH-0700,31.31,46.4,26.3,1.1,9.34,5170.0,2
HH-0701,30.09,42.3,22.7,1.23,7.55,4120.0,0
HH-0500,20.03,31.5,41.7,0.91,5.19,2984.0,2
HH-0235,13.37,56.9,14.0,1.17,4.43,1993.0,0
HH-0043,7.52,29.7,18.7,1.01,1.23,921.0,2
HH-0210,5.14,28.2,18.6,1.12,1.48,401.0,1
HH-0581,23.19,36.9,43.2,0.87,5.16,3298.0,0
HH-0735,31.14,45.3,31.7,1.07,8.68,4608.0,0
HH-0465,22.5,33.0,39.6,0.98,6.52,3009.0,1
HH-0355,14.68,51.1,10.6,1.17,4.65,2036.0,1
HH-0845,33.59,43.6,17.3,1.11,7.69,4910.0,1
HH-0050,6.45,20.5,18.6,1.01,1.8,687.0,0
HH-0116,7.57,30.5,14.4,1.07,2.07,774.0,1
HH-0113,6.73,26.8,21.5,1.0,1.8,472.0,2
HH-0638,19.06,34.2,44.3,0.99,6.0,2696.0,4
HH-0212,6.35,31.3,18.9,1.05,2.13,912.0,0
HH-0115,6.64,34.2,21.1,1.08,1.39,714.0,1
HH-0132,6.63,31.5,28.1,1.0,2.43,681.0,0
HH-0503,21.38,27.0,42.6,0.94,5.91,3083.0,4
HH-0133,6.72,27.9,17.4,1.02,1.67,869.0,1
HH-0570,18.3,32.9,44.2,0.91,5.81,2796.0,6
HH-0878,30.02,47.6,24.8,1.13,8.81,4724.0,0
HH-0572,16.05,31.2,39.8,0.97,5.63,2663.0,1
HH-0194,6.11,30.6,13.7,1.03,2.2,776.0,0
HH-0665,15.44,26.7,47.3,0.82,4.94,2446.0,1
HH-0015,6.45,25.6,13.7,0.98,2.2,440.0,1
HH-0049,6.04,18.1,16.0,1.0,1.78,991.0,3
HH-0151,5.14,28.3,10.9,1.05,1.72,541.0,1
HH-0573,24.67,34.1,45.6,0.86,4.93,3388.0,0
HH-0690,33.22,38.7,26.7,1.22,7.97,4904.0,0
HH-0198,7.04,26.7,23.8,1.22,2.4,797.0,3
HH-0218,7.56,31.3,15.6,0.94,1.11,677.0,1
HH-0681,32.18,44.2,23.1,1.11,8.93,4714.0,1
HH-0883,33.75,45.9,25.2,1.22,8.43,5059.0,1
HH-0869,30.56,48.6,26.3,1.24,8.27,4167.0,0
HH-0226,15.2,50.9,11.8,1.11,3.93,2394.0,1
HH-0085,5.17,31.4,18.4,1.06,2.15,493.0,0
HH-0383,15.85,54.0,14.8,1.04,4.99,2153.0,2
HH-0026,6.93,26.4,22.8,1.06,1.81,761.0,1
HH-0448,12.28,48.3,18.1,1.11,3.69,1922.0,1
HH-0786,29.79,42.3,20.7,1.16,8.02,4625.0,2
HH-0190,6.15,29.0,18.3,1.12,1.37,848.0,1
HH-0353,14.12,46.1,13.9,1.2,4.32,2203.0,1
HH-0702,29.24,43.3,31.7,1.14,8.57,4808.0,3
HH-0813,29.49,46.0,28.0,1.08,8.0,4959.0,2
HH-0372,13.22,51.0,12.3,1.01,3.61,1538.0,1
HH-0283,13.91,50.6,17.3,1.14,3.79,2029.0,0
HH-0521,17.12,32.8,45.3,0.87,4.9,2385.0,3
HH-0178,6.12,26.1,19.0,1.03,2.29,942.0,0
HH-0539,20.66,27.4,40.0,0.91,5.44,3115.0,2
HH-0052,5.25,33.9,22.5,0.95,2.87,658.0,1
HH-0483,21.18,31.4,42.6,0.99,6.55,2806.0,1
HH-0876,26.42,47.0,17.4,1.16,7.98,4208.0,2
HH-0310,13.65,58.0,19.6,1.15,4.48,1958.0,0
HH-0519,25.16,22.6,45.2,1.07,4.76,3431.0,0
HH-0363,12.79,50.3,13.5,1.1,3.87,1849.0,0
HH-0373,13.56,45.8,17.6,1.05,4.09,2204.0,2
HH-0166,6.24,37.5,20.8,1.09,2.36,1020.0,2
HH-0189,5.95,25.7,23.1,1.1,1.33,643.0,0
HH-0492,18.74,28.1,36.7,0.92,6.19,2633.0,0
HH-0748,32.45,45.9,27.2,1.21,8.4,5207.0,2
HH-0131,8.64,23.6,16.9,1.12,2.83,925.0,3
HH-0642,21.47,36.3,42.3,0.96,6.08,3240.0,3
HH-0543,24.58,33.0,39.8,1.01,7.34,3446.0,0
HH-0259,16.33,59.2,17.7,1.13,4.45,2436.0,0
HH-0493,17.09,33.8,39.4,0.87,6.18,2262.0,4
HH-0339,15.18,51.8,9.8,1.2,4.53,2395.0,0
HH-0491,20.32,33.6,42.1,1.0,5.87,3172.0,0
HH-0562,19.35,36.9,37.3,0.84,5.74,2874.0,0
HH-0623,20.47,32.8,39.0,1.05,5.45,2957.0,3
HH-0836,32.6,48.7,27.7,1.09,9.55,4917.0,3
HH-0080,7.19,33.0,18.4,0.99,1.34,885.0,1
HH-0248,18.11,50.8,8.6,1.09,4.66,2810.0,1
HH-0781,25.88,46.2,27.6,1.29,7.83,4180.0,0
HH-0338,13.29,44.7,11.5,1.2,3.7,1880.0,0
HH-0408,15.62,55.9,11.7,1.05,4.51,2063.0,0
HH-0019,7.73,32.3,17.6,1.0,1.42,720.0,1
HH-0747,37.49,46.1,29.1,1.25,8.05,5402.0,1
HH-0542,20.23,29.5,40.6,0.95,5.35,2717.0,1
HH-0856,33.34,49.0,22.1,0.99,8.42,4998.0,2
HH-0824,31.32,45.3,26.2,1.22,8.91,4813.0,5
HH-0649,18.19,27.1,35.9,0.85,4.47,2317.0,5
HH-0269,15.45,53.4,11.4,1.19,4.86,1754.0,0
HH-0578,17.53,23.6,36.6,0.91,5.87,2916.0,1
HH-0412,14.79,52.4,12.4,1.17,3.69,2360.0,0
HH-0544,21.3,34.4,45.2,0.89,5.89,2869.0,2
HH-0439,14.1,55.2,18.9,1.14,4.07,1953.0,0
HH-0595,19.21,34.0,44.8,0.9,5.88,2492.0,4
HH-0496,21.61,36.8,42.8,0.77,5.37,2847.0,2
HH-0074,5.88,27.4,19.3,1.09,1.33,1046.0,2
HH-0427,14.22,51.3,14.7,1.09,4.04,2102.0,0
HH-0165,7.03,27.2,16.3,0.92,0.84,1202.0,0
HH-0385,16.28,54.7,18.2,1.04,3.93,2106.0,2
HH-0630,19.74,32.2,43.1,0.97,5.89,3163.0,3
HH-0806,32.23,50.9,28.9,1.27,8.12,4749.0,1
HH-0727,28.89,41.2,25.8,1.34,8.71,4439.0,2
HH-0094,7.93,25.2,23.7,1.03,2.03,1249.0,1
HH-0724,28.93,47.2,21.9,1.18,8.66,4612.0,1
HH-0725,36.73,48.3,31.2,1.14,8.12,5430.0,2
HH-0299,14.16,50.8,11.8,1.17,4.38,2391.0,3
HH-0812,32.25,50.1,27.2,1.17,9.37,4636.0,2
HH-0780,30.24,36.6,21.4,1.18,7.83,4796.0,2
HH-0045,8.05,36.0,13.2,1.07,0.79,1139.0,2
HH-0898,29.41,40.9,27.5,1.07,8.05,4309.0,2
HH-0533,22.92,27.8,42.6,0.99,5.1,3149.0,3
HH-0481,18.89,28.6,42.1,0.92,5.51,2818.0,6
HH-0684,23.77,46.2,25.9,1.15,7.03,3724.0,3
HH-0437,14.58,50.6,13.2,1.08,4.2,2306.0,3
HH-0828,30.46,45.7,26.6,1.1,8.29,4761.0,1
HH-0136,7.51,28.1,15.6,1.07,1.96,1017.0,1
HH-0480,23.75,37.4,41.0,1.0,5.68,3103.0,4
HH-0514,23.37,28.4,45.4,0.91,4.04,3135.0,5
HH-0202,6.85,26.4,14.8,0.96,0.76,868.0,1
HH-0260,15.24,49.6,21.1,1.18,4.23,2059.0,2
HH-0477,21.58,36.6,40.3,0.81,6.45,2816.0,1
HH-0278,12.37,50.2,13.2,1.09,4.48,2137.0,2
HH-0810,37.64,39.7,26.9,1.28,8.1,5467.0,1
HH-0358,14.4,47.2,15.7,1.1,4.79,1862.0,0
HH-0445,17.24,48.2,19.0,1.14,4.52,2396.0,2
HH-0789,25.8,40.6,24.8,1.22,8.68,4181.0,0
HH-0367,14.87,47.2,22.9,1.1,3.5,2264.0,0
HH-0430,14.38,51.4,9.1,1.11,3.83,2103.0,1
HH-0171,7.4,23.7,18.3,1.13,2.39,840.0,2
HH-0757,35.06,51.0,26.8,1.03,7.74,5066.0,1
HH-0778,28.92,50.8,25.4,1.26,8.34,4628.0,0
HH-0660,20.11,33.4,37.7,0.96,6.48,2815.0,5
HH-0851,28.14,44.9,30.1,1.25,8.46,4638.0,0
HH-0231,14.98,47.1,18.6,1.02,4.64,1893.0,2
HH-0688,31.41,51.2,20.8,1.29,8.42,4883.0,2
HH-0583,16.98,35.4,43.7,0.97,5.78,2504.0,1
HH-0217,6.26,24.9,17.4,1.06,1.88,623.0,0
HH-0122,7.33,28.6,16.8,1.1,2.28,969.0,2
HH-0246,13.74,49.8,11.2,1.14,5.04,1831.0,1
HH-0565,19.4,34.5,44.2,0.99,5.91,2546.0,0
HH-0744,33.07,41.4,24.0,1.17,8.05,4972.0,1
HH-0721,33.27,42.7,26.8,1.17,7.91,5186.0,0
HH-0588,20.39,30.5,41.0,0.92,5.02,2881.0,1
HH-0517,21.99,34.1,42.2,0.83,5.48,3382.0,1
HH-0200,4.98,24.8,17.7,1.11,2.0,739.0,2
HH-0108,6.8,22.7,9.6,1.11,1.7,1018.0,1
HH-0589,22.19,26.4,47.1,0.92,6.01,2803.0,3
HH-0585,18.07,27.7,44.8,0.96,5.83,2744.0,2
HH-0468,23.42,32.4,41.2,1.05,6.4,3543.0,3
HH-0635,21.01,37.9,39.5,1.01,5.36,2766.0,1
HH-0770,31.95,51.9,25.2,1.2,7.65,4695.0,1
HH-0037,6.14,28.1,21.8,1.04,1.53,1043.0,4
HH-0651,24.65,26.2,43.1,0.95,4.97,3310.0,1
HH-0817,29.07,39.8,25.5,1.2,8.65,4369.0,3
HH-0443,15.86,40.9,15.0,1.11,5.08,2362.0,0
HH-0139,7.28,27.7,20.5,1.22,2.53,899.0,0
HH-0870,32.09,43.1,27.7,1.22,8.88,5058.0,2
HH-0389,17.15,52.2,12.5,1.08,4.79,2143.0,0
HH-0424,16.9,51.1,13.5,1.07,4.3,2703.0,0
HH-0871,32.49,42.1,27.8,1.07,7.36,4973.0,3
HH-0722,32.01,37.7,19.1,1.2,7.33,4838.0,5
HH-0414,14.9,51.8,9.3,1.18,4.33,2359.0,1
HH-0063,5.22,27.9,17.9,1.03,2.05,782.0,3
HH-0091,6.79,31.1,21.4,1.02,0.91,894.0,0
HH-0738,26.93,50.3,24.0,1.15,8.46,4151.0,4
HH-0067,6.92,22.8,21.2,0.98,1.32,905.0,0
HH-0057,6.51,27.5,13.8,1.08,1.86,583.0,0
HH-0401,13.43,46.4,16.8,1.19,3.73,1988.0,1
HH-0286,13.84,53.4,16.2,1.11,3.3,1801.0,0
HH-0750,32.98,38.1,19.3,1.19,9.18,5171.0,1
HH-0540,21.81,33.7,43.0,0.92,5.31,3187.0,1
HH-0532,18.27,34.4,45.6,0.81,5.62,2674.0,4
HH-0857,32.53,36.8,26.7,1.13,8.32,4834.0,1
HH-0809,29.38,40.7,18.9,1.15,7.59,4226.0,1
HH-0487,20.06,24.2,36.4,0.92,5.75,2950.0,2
HH-0100,6.58,32.5,12.4,1.01,2.16,784.0,0
HH-0872,30.29,41.0,26.1,1.13,7.66,4701.0,4
HH-0101,7.34,22.8,14.9,1.05,1.16,1096.0,3
HH-0328,14.26,50.2,14.1,1.21,3.26,1917.0,4
HH-0244,16.48,50.5,12.0,1.14,4.02,1943.0,1
HH-0561,21.4,33.1,38.8,0.87,5.89,2833.0,4
HH-0140,8.11,27.8,19.4,0.98,2.25,1260.0,2
HH-0307,15.7,61.0,17.3,1.24,4.26,2111.0,0
HH-0103,7.15,26.1,20.7,1.02,0.97,1047.0,0
HH-0182,7.61,25.1,21.7,1.13,2.31,886.0,2
HH-0163,6.29,18.9,20.9,1.09,1.72,763.0,1
HH-0327,15.01,48.4,10.4,1.06,3.3,2237.0,1
HH-0071,6.95,26.4,15.2,1.08,1.31,1118.0,0
HH-0147,6.44,28.0,13.3,1.0,2.26,500.0,1
HH-0223,6.21,20.8,12.0,0.99,1.29,533.0,3
HH-0359,14.29,58.8,17.0,1.17,3.65,1990.0,3
HH-0552,22.09,32.6,44.3,0.97,5.81,3200.0,3
HH-0850,31.74,41.5,22.9,1.22,8.21,4735.0,1
HH-0149,7.15,21.3,14.7,1.04,1.29,1057.0,4
HH-0164,5.13,30.9,8.5,1.02,1.6,712.0,1
HH-0785,29.85,43.0,28.4,1.0,9.99,4533.0,1
HH-0490,23.49,34.8,44.4,0.95,6.42,3054.0,3
HH-0175,6.56,30.8,22.1,1.09,2.93,683.0,1
HH-0678,31.22,43.5,22.4,1.11,9.61,4360.0,5
HH-0024,7.54,30.0,12.4,1.16,1.67,1009.0,0
HH-0616,17.67,24.8,39.6,1.01,5.56,2684.0,1
HH-0277,15.55,50.2,11.8,1.27,4.35,2154.0,2
HH-0787,30.35,50.9,24.9,1.24,8.5,4582.0,6
HH-0692,26.28,37.5,25.3,1.18,7.93,4477.0,3
HH-0138,7.83,27.7,22.1,1.12,1.65,550.0,2
HH-0671,32.2,44.8,23.9,1.12,9.13,4930.0,3
HH-0462,17.23,22.2,48.0,0.81,6.77,2837.0,1
HH-0499,18.86,38.5,47.7,0.84,6.36,2318.0,1
HH-0818,28.39,45.0,18.0,1.11,8.44,4420.0,7
HH-0838,28.49,47.0,25.1,1.1,7.91,4617.0,2
HH-0434,14.63,51.0,14.5,0.94,4.33,2338.0,2
HH-0882,33.03,53.6,23.2,1.22,8.2,5031.0,2
HH-0624,21.37,29.9,46.2,0.87,5.65,2906.0,3
HH-0766,37.05,43.7,27.2,1.26,8.03,5247.0,3
HH-0321,14.42,57.1,18.0,1.01,4.56,2115.0,1
HH-0888,33.89,54.5,28.2,1.25,8.33,5169.0,1
HH-0622,21.96,24.5,41.2,0.88,5.17,3043.0,0
HH-0582,23.26,30.7,41.2,0.94,5.63,3751.0,1
HH-0201,8.14,31.7,13.1,0.97,1.87,1367.0,1
HH-0459,15.34,52.3,20.7,1.17,4.02,1943.0,0
HH-0292,14.35,54.2,12.3,1.08,3.62,2018.0,2
HH-0288,15.21,57.8,12.2,1.12,3.87,2243.0,2
HH-0382,11.7,49.3,17.3,1.13,4.62,1685.0,2
