Field_ID,Soil_pH,Moisture_Percent,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Organic_Carbon_Percent,Previous_Yield_ton_per_ha
FLD-0605,5.96,40.9,112.3,67.2,162.7,2.03,7.78
FLD-0301,6.72,18.5,73.3,52.6,200.0,1.13,6.57
FLD-0683,6.08,40.3,96.2,55.2,178.7,1.79,6.91
FLD-0085,5.52,36.2,31.2,25.5,182.8,0.42,2.5
FLD-0405,7.28,24.0,45.7,36.9,262.5,0.43,4.27
FLD-0080,6.02,30.7,38.5,19.5,131.4,0.5,2.71
FLD-0619,6.44,39.5,107.5,52.4,213.1,1.57,7.94
FLD-0303,6.79,23.2,79.5,48.6,208.9,1.36,6.11
FLD-0651,6.43,35.8,97.5,65.2,212.1,2.07,7.3
FLD-0197,6.76,18.9,78.8,50.2,215.0,1.25,5.96
FLD-0032,5.82,30.5,35.4,22.7,154.4,0.75,2.6
FLD-0583,5.81,35.4,82.1,60.1,172.9,1.69,7.71
FLD-0266,6.46,23.5,87.3,50.4,179.9,1.34,5.2
FLD-0674,5.99,41.6,95.9,59.5,209.5,1.94,6.9
FLD-0235,6.65,23.3,67.2,51.0,161.5,1.34,4.98
FLD-0056,5.23,32.4,45.2,25.7,124.6,0.3,3.23
FLD-0213,6.87,21.4,86.0,39.8,210.9,1.25,5.46
FLD-0336,6.38,23.4,73.5,57.0,218.5,1.34,6.14
FLD-0519,7.76,13.0,62.8,34.8,258.1,0.82,3.64
FLD-0362,6.55,27.5,74.7,54.9,214.8,1.26,5.88
FLD-0216,6.79,17.3,78.7,60.0,207.4,1.23,6.1
FLD-0330,6.53,25.2,75.1,59.6,205.2,1.45,5.94
FLD-0061,5.48,28.3,36.2,15.1,134.0,0.66,3.64
FLD-0738,5.56,37.8,91.2,72.7,183.2,1.62,6.72
FLD-0382,6.57,23.9,73.8,52.1,230.8,1.14,6.07
FLD-0166,5.48,31.0,52.8,9.3,124.5,0.51,3.0
FLD-0645,5.89,39.9,100.9,62.0,202.9,1.65,7.15
FLD-0432,8.05,17.2,36.6,23.6,272.0,0.68,3.58
FLD-0149,5.73,29.2,47.4,28.1,132.8,0.9,3.58
FLD-0463,7.61,17.7,61.8,35.4,261.4,0.4,4.61
FLD-0091,5.9,39.2,37.8,12.4,144.4,0.67,3.1
FLD-0394,7.64,10.8,53.9,37.5,223.4,0.72,4.18
FLD-0686,5.9,39.1,109.8,60.3,172.3,1.78,7.4
FLD-0070,5.61,30.8,39.6,19.3,157.7,0.57,3.57
FLD-0596,6.24,34.4,94.8,62.4,189.1,1.97,7.43
FLD-0132,5.6,35.4,26.0,22.1,134.4,0.74,2.89
FLD-0045,5.61,36.5,50.4,26.6,181.4,0.8,3.66
FLD-0071,5.75,32.2,38.7,26.7,144.4,0.89,2.19
FLD-0673,6.35,39.8,106.4,60.9,165.5,1.88,7.33
FLD-0209,7.29,24.3,93.3,50.1,222.3,1.09,5.33
FLD-0345,5.99,22.3,71.8,57.5,174.3,0.96,6.41
FLD-0624,6.24,36.8,98.2,49.9,197.4,1.86,7.0
FLD-0136,5.35,32.1,17.6,26.3,90.0,0.41,3.45
FLD-0482,7.67,17.0,54.0,29.5,217.3,0.34,3.68
FLD-0029,5.63,29.7,41.0,23.0,156.1,0.97,3.25
FLD-0465,7.99,16.6,62.2,30.7,219.7,0.78,3.8
FLD-0399,7.75,15.8,48.4,28.3,271.6,0.59,3.57
FLD-0630,6.58,37.7,113.2,59.8,184.4,1.77,6.17
FLD-0137,5.58,27.3,35.3,32.2,141.3,1.12,3.2
FLD-0496,8.33,20.4,37.8,39.5,261.9,0.33,3.83
FLD-0007,5.26,31.7,41.9,25.3,165.7,0.76,3.57
FLD-0612,6.08,36.8,95.3,71.5,134.3,1.92,6.84
FLD-0074,5.37,31.3,40.3,28.7,156.2,0.84,2.82
FLD-0199,7.0,20.5,81.7,42.5,192.9,1.49,5.5
FLD-0200,6.78,18.0,93.9,51.6,201.7,1.32,5.02
FLD-0146,5.16,31.2,38.8,22.0,161.2,0.78,3.37
FLD-0324,6.43,24.4,77.4,50.9,219.2,1.33,5.68
FLD-0745,6.04,33.7,106.0,67.4,170.1,1.7,7.4
FLD-0133,5.4,37.0,39.6,26.5,145.8,0.73,3.2
FLD-0327,6.96,24.9,82.7,50.2,217.6,1.63,6.33
FLD-0616,6.15,38.8,119.7,65.0,137.2,1.84,7.12
FLD-0702,5.88,36.4,102.2,58.3,189.0,1.84,6.5
FLD-0042,5.46,30.1,40.2,22.5,152.7,0.98,1.79
FLD-0109,5.19,33.7,46.1,26.7,172.5,0.83,3.61
FLD-0533,7.72,20.4,54.8,34.8,250.1,0.65,3.6
FLD-0057,5.32,32.5,46.6,24.8,163.7,0.76,3.49
FLD-0193,6.36,31.4,81.6,43.6,221.5,1.2,5.66
FLD-0584,6.39,38.2,100.0,69.2,179.6,1.63,6.16
FLD-0357,6.86,21.6,87.7,61.3,202.8,0.83,5.5
FLD-0602,6.4,41.6,100.3,63.2,185.4,1.88,7.03
FLD-0378,6.49,25.9,78.3,42.2,187.8,1.48,5.71
FLD-0025,5.41,30.9,35.8,26.7,141.8,0.5,2.5
FLD-0558,7.84,18.1,58.3,21.9,240.8,0.32,5.35
FLD-0481,7.73,8.8,54.7,25.4,253.7,0.38,4.02
FLD-0452,7.68,11.3,47.4,30.7,254.8,0.71,4.37
FLD-0333,5.98,25.7,61.2,56.8,208.1,1.4,5.3
FLD-0731,6.1,37.2,103.1,67.8,209.6,1.89,7.54
FLD-0111,5.93,35.3,43.0,32.1,150.2,0.76,2.6
FLD-0083,5.5,26.3,51.7,31.5,145.5,0.79,1.87
FLD-0052,5.53,28.2,39.8,23.1,156.9,0.9,2.62
FLD-0421,8.21,20.0,53.2,29.2,242.6,0.65,4.88
FLD-0603,6.12,42.4,112.7,65.9,210.9,1.71,7.99
FLD-0523,7.92,17.1,51.1,42.5,228.7,0.61,4.01
FLD-0598,5.93,41.9,103.6,54.5,222.4,1.77,7.31
FLD-0627,6.28,35.8,108.8,60.7,174.9,1.89,6.2
FLD-0391,7.42,11.8,66.8,28.2,244.5,0.54,3.48
FLD-0140,5.62,27.8,32.7,30.6,142.6,0.46,3.44
FLD-0668,5.93,29.8,99.4,66.3,182.7,1.83,7.83
FLD-0437,7.5,15.8,49.4,24.2,237.0,0.52,3.63
FLD-0019,5.86,27.2,35.9,18.4,143.0,0.47,3.55
FLD-0632,6.24,39.2,113.9,69.9,193.8,1.52,6.72
FLD-0141,5.58,26.1,42.8,28.4,156.7,0.83,2.43
FLD-0347,7.08,22.6,79.8,54.8,242.9,1.12,5.79
FLD-0508,7.91,13.6,43.5,37.2,214.3,0.78,3.86
FLD-0084,5.13,30.1,32.4,28.3,186.0,0.51,2.74
FLD-0062,5.93,26.6,44.1,17.8,158.5,0.7,2.19
FLD-0622,5.52,39.3,107.2,61.8,159.3,1.8,6.29
FLD-0446,7.96,13.9,51.8,26.1,222.5,0.67,4.1
FLD-0030,5.63,24.4,40.6,18.9,128.1,0.56,3.02
FLD-0532,7.87,17.5,55.2,31.3,257.5,0.78,4.5
FLD-0232,6.15,25.0,72.9,51.5,205.8,1.36,6.45
FLD-0351,6.5,22.7,83.3,43.0,197.6,1.24,6.35
FLD-0293,6.26,20.8,84.3,51.0,206.8,1.02,6.22
FLD-0732,6.09,35.7,108.2,64.0,154.4,1.72,7.05
FLD-0183,6.48,24.1,74.2,57.7,211.5,1.18,6.46
FLD-0570,5.77,35.4,98.0,56.3,187.9,2.0,6.6
FLD-0265,6.54,26.1,73.9,49.4,199.6,1.34,6.06
FLD-0749,5.9,39.1,97.1,61.9,195.3,1.65,7.53
FLD-0224,6.69,21.4,69.8,42.4,193.6,1.01,5.89
FLD-0383,6.58,25.2,91.5,51.1,173.1,1.3,6.48
FLD-0408,8.02,15.5,64.4,39.2,249.4,0.46,4.87
FLD-0236,6.66,23.6,88.4,46.9,192.5,1.13,6.5
FLD-0457,7.77,12.2,52.1,37.4,221.6,0.57,4.56
FLD-0210,6.78,27.2,79.3,40.3,180.5,0.96,4.83
FLD-0389,6.68,24.5,87.3,41.5,208.2,1.45,4.85
FLD-0430,7.32,15.2,49.3,19.2,264.1,0.56,4.41
FLD-0177,5.12,31.3,43.6,19.2,150.5,0.82,3.54
FLD-0688,6.13,38.2,99.9,62.9,179.3,1.81,5.8
FLD-0315,6.59,21.4,74.7,46.9,206.6,1.33,6.39
FLD-0276,6.32,22.1,70.9,53.2,218.2,0.91,5.58
FLD-0549,7.91,15.6,50.5,30.0,220.1,0.59,4.16
FLD-0361,6.59,29.7,77.3,37.2,239.1,1.34,5.76
FLD-0138,5.56,36.2,42.0,18.0,148.0,0.71,2.45
FLD-0608,6.56,37.1,99.5,65.9,146.9,1.64,7.64
FLD-0703,6.49,38.3,89.2,62.7,185.1,1.96,6.91
FLD-0665,6.2,37.2,95.4,69.0,187.7,1.7,7.18
FLD-0164,4.8,24.6,36.7,24.1,162.4,0.81,2.99
FLD-0339,6.96,22.8,71.9,52.7,185.2,1.18,5.74
FLD-0660,5.96,36.2,116.3,46.1,162.0,2.27,7.42
FLD-0075,5.7,36.2,33.2,18.7,174.0,0.69,3.97
FLD-0332,6.76,31.2,76.8,50.5,227.6,1.43,5.81
FLD-0587,5.93,43.9,100.2,67.7,136.5,2.01,7.91
FLD-0245,6.94,23.5,74.4,34.3,216.5,1.2,5.24
FLD-0328,6.21,25.4,88.1,55.2,197.3,1.43,6.31
FLD-0352,6.48,18.1,63.7,40.4,181.4,1.19,5.15
FLD-0483,7.75,14.1,58.0,29.3,227.6,0.56,4.12
FLD-0105,5.13,27.4,44.6,24.3,159.9,0.69,3.35
FLD-0115,5.74,31.1,34.2,17.5,156.2,0.79,3.91
FLD-0675,6.23,38.5,81.0,57.6,179.1,1.72,7.24
FLD-0295,6.48,20.5,67.4,58.3,209.9,1.29,5.63
FLD-0590,6.25,40.4,102.3,69.1,174.5,1.74,6.56
FLD-0093,5.36,30.5,45.9,13.6,153.0,0.65,4.22
FLD-0090,5.28,32.5,36.7,21.5,174.5,0.53,1.87
FLD-0592,6.21,34.8,105.4,62.1,242.2,1.83,6.89
FLD-0449,8.1,19.4,57.3,42.8,241.6,1.16,3.87
FLD-0696,6.17,35.1,100.3,75.9,181.7,1.57,7.2
FLD-0426,7.84,13.5,52.0,27.3,286.4,0.59,4.85
FLD-0431,8.41,14.9,49.6,31.7,262.8,0.51,3.65
FLD-0012,5.49,33.0,38.5,26.7,138.1,0.65,2.99
FLD-0044,5.02,33.8,38.4,23.6,131.0,0.66,3.92
FLD-0043,5.38,31.6,43.4,21.8,118.4,0.78,4.15
FLD-0168,5.35,27.3,25.7,23.3,132.0,0.7,2.32
FLD-0658,6.68,40.4,103.4,62.7,190.0,1.76,7.2
FLD-0576,5.88,35.9,108.1,62.0,183.5,1.56,6.85
FLD-0589,6.47,41.1,97.3,58.6,168.4,1.91,6.55
FLD-0179,5.33,25.2,39.6,14.6,167.4,0.99,2.76
FLD-0479,7.82,16.6,57.3,25.5,246.2,0.69,4.45
FLD-0579,6.1,36.2,101.6,63.4,196.0,1.76,7.32
FLD-0178,5.88,35.1,33.0,34.1,140.4,0.91,3.24
FLD-0517,7.59,14.5,38.2,36.2,266.4,0.48,4.19
FLD-0524,7.86,14.6,55.5,30.0,216.5,0.61,3.39
FLD-0258,6.53,23.9,82.5,46.2,197.6,1.24,4.74
FLD-0312,6.79,25.9,76.0,60.7,209.2,0.88,5.25
FLD-0412,7.6,13.3,56.2,32.8,261.1,0.75,4.63
FLD-0016,5.39,28.0,38.3,29.0,118.9,0.8,3.33
FLD-0450,7.82,14.7,56.0,36.0,242.9,0.93,4.13
FLD-0257,6.73,23.0,64.2,46.0,199.1,1.19,5.49
FLD-0534,7.95,25.1,50.0,31.4,237.0,0.52,4.85
FLD-0341,6.57,26.5,66.7,44.9,217.3,1.11,4.92
FLD-0292,6.93,20.8,81.4,53.5,216.9,1.56,5.38
FLD-0418,8.01,13.7,54.8,23.4,233.4,0.49,4.49
FLD-0364,6.76,23.0,85.3,47.7,196.2,1.16,6.91
FLD-0297,6.1,23.2,79.5,40.3,204.4,1.23,4.61
FLD-0400,7.61,19.5,58.4,34.4,240.4,0.71,3.65
FLD-0010,5.61,33.3,47.3,21.9,141.7,0.87,3.09
FLD-0250,6.28,26.1,72.8,44.5,210.6,1.13,6.29
FLD-0023,5.43,36.7,42.0,29.9,141.0,0.51,2.67
FLD-0222,6.43,25.8,82.2,38.6,192.0,1.12,5.6
FLD-0620,6.44,39.8,96.2,63.9,171.5,1.79,6.96
FLD-0644,6.45,33.8,109.4,58.8,208.8,1.91,6.55
FLD-0735,5.99,39.5,101.5,45.8,171.3,1.97,6.18
FLD-0538,7.25,14.6,59.1,32.8,255.6,0.6,4.64
FLD-0628,6.6,38.6,113.2,56.5,163.4,1.57,7.24
FLD-0204,6.59,25.2,90.2,49.1,188.6,1.37,6.31
FLD-0471,7.69,16.9,49.0,34.3,234.5,0.72,4.24
FLD-0094,5.4,36.3,32.2,27.5,155.7,0.56,3.3
FLD-0434,7.91,12.1,55.9,37.5,253.8,0.64,3.95
FLD-0368,6.78,31.3,84.1,56.8,208.3,1.21,6.01
FLD-0444,7.6,18.5,61.4,30.6,245.8,0.75,4.07
FLD-0285,6.42,19.6,82.1,51.3,209.2,1.39,5.85
FLD-0185,7.21,26.6,80.4,45.4,197.9,0.84,5.94
FLD-0607,5.86,35.6,104.8,62.8,183.9,1.87,6.75
FLD-0530,7.53,17.7,51.1,29.9,255.7,0.58,3.85
FLD-0154,5.14,30.3,28.3,18.5,154.1,0.96,4.75
FLD-0076,5.33,35.7,42.1,25.5,178.2,0.65,2.68
FLD-0396,7.56,10.2,67.0,36.0,258.9,0.78,4.32
FLD-0278,6.43,19.9,79.8,40.6,165.8,1.15,4.81
FLD-0069,5.75,27.3,41.1,39.6,154.0,0.98,3.25
FLD-0690,5.99,40.4,97.8,60.3,175.6,2.01,6.06
FLD-0189,6.59,25.2,67.1,55.1,191.3,1.12,5.79
FLD-0272,6.78,22.6,70.4,44.7,224.3,1.33,5.73
FLD-0237,6.8,22.8,77.1,38.6,212.0,0.9,6.21
FLD-0089,5.65,31.8,36.1,32.7,142.1,0.73,3.35
FLD-0637,5.77,39.3,107.7,77.8,168.8,1.73,6.78
FLD-0118,5.13,29.5,52.5,17.0,111.9,0.38,3.22
FLD-0126,4.9,31.0,39.2,23.4,149.5,0.76,3.72
FLD-0617,6.16,38.8,102.8,62.7,191.0,1.68,6.58
FLD-0290,6.63,19.7,67.2,51.4,158.2,1.26,5.54
FLD-0239,6.71,24.0,81.3,43.8,203.4,0.93,5.87
FLD-0001,5.54,27.7,47.0,29.6,114.9,0.49,3.27
FLD-0742,6.15,38.4,94.6,63.6,189.2,1.84,7.41
FLD-0335,6.94,26.7,90.8,46.9,168.0,1.19,6.25
FLD-0655,6.02,40.4,100.2,67.8,182.7,2.01,6.94
FLD-0743,6.55,41.0,103.6,56.0,169.2,1.74,7.24
FLD-0279,6.44,21.1,72.0,60.0,206.0,1.26,4.82
FLD-0586,5.66,39.8,109.5,65.6,176.0,1.88,7.19
FLD-0117,5.52,29.4,36.0,25.9,142.8,0.76,3.35
FLD-0229,6.74,24.8,91.6,41.6,204.0,1.42,6.5
FLD-0588,6.16,39.8,107.5,59.1,189.8,1.63,6.77
FLD-0381,6.37,21.8,76.2,39.4,197.4,1.24,5.58
FLD-0275,6.56,19.3,70.3,54.2,170.4,1.42,5.77
FLD-0319,6.69,25.9,96.5,49.7,213.7,1.03,5.09
FLD-0515,7.25,20.5,60.7,45.5,220.0,0.87,4.04
FLD-0145,5.66,32.2,31.1,32.7,141.0,0.42,2.63
FLD-0451,7.83,13.1,56.3,30.2,234.1,0.47,5.47
FLD-0714,6.13,36.2,97.6,65.6,199.4,1.72,7.53
FLD-0679,6.36,34.1,94.6,52.5,195.6,1.83,7.38
FLD-0548,7.43,12.9,70.1,29.9,231.1,0.87,4.15
FLD-0269,6.85,29.8,90.4,38.2,218.0,1.48,5.55
FLD-0531,7.88,18.1,51.8,31.5,230.9,0.46,4.42
FLD-0308,6.69,23.8,84.9,42.9,185.6,1.26,6.13
FLD-0311,6.41,20.6,76.6,40.7,211.0,1.23,6.06
FLD-0047,5.78,33.4,55.6,28.4,121.7,0.71,2.56
FLD-0350,6.86,26.6,99.8,45.7,196.8,1.36,6.25
FLD-0262,7.09,21.2,77.2,52.5,206.0,1.02,6.03
FLD-0196,6.76,20.4,89.6,55.5,222.3,0.95,6.26
FLD-0750,6.38,41.4,104.1,80.0,199.0,1.84,6.62
FLD-0629,6.17,36.5,94.9,55.4,179.1,1.7,6.72
FLD-0108,5.2,31.0,38.6,17.9,186.9,1.04,3.82
FLD-0060,5.66,30.1,42.6,30.5,173.9,0.71,3.94
FLD-0684,6.49,35.3,105.5,63.4,152.0,1.54,7.11
FLD-0694,6.09,44.5,88.9,61.6,201.8,1.52,6.75
FLD-0101,5.76,30.2,32.8,23.7,168.9,0.54,2.7
FLD-0417,7.75,8.8,55.9,42.7,273.4,0.94,3.44
FLD-0672,6.12,41.5,103.1,67.8,171.2,1.45,7.25
FLD-0546,7.55,15.8,54.5,40.4,239.6,0.78,4.68
FLD-0397,7.68,15.5,49.6,46.8,255.0,0.53,4.26
FLD-0180,5.53,28.7,36.0,28.6,149.3,1.03,2.93
FLD-0305,6.77,27.4,79.8,62.0,198.2,1.28,5.36
FLD-0376,6.61,28.3,90.7,43.1,204.2,1.24,5.26
FLD-0425,8.32,15.9,61.2,30.7,244.4,0.5,4.07
FLD-0722,5.86,38.0,111.2,65.5,182.7,1.98,6.7
FLD-0150,5.48,28.6,34.1,20.8,159.8,0.55,3.44
FLD-0125,5.29,30.9,43.2,18.0,163.0,0.73,2.16
FLD-0595,6.44,39.5,92.3,55.0,189.6,1.54,6.98
FLD-0652,6.28,40.5,92.9,66.9,166.8,1.84,6.97
FLD-0186,6.89,19.0,73.7,41.1,187.6,1.23,4.65
FLD-0707,6.08,35.6,101.7,74.3,204.9,1.84,7.09
FLD-0466,7.85,13.9,66.2,25.7,238.9,0.63,3.4
FLD-0409,7.73,16.4,50.3,25.7,218.6,0.72,3.57
FLD-0740,5.88,44.6,101.5,75.7,205.1,1.47,6.73
FLD-0410,8.5,12.5,42.9,34.1,272.5,0.62,4.31
FLD-0322,6.44,23.8,88.3,41.8,203.5,1.34,4.49
FLD-0354,6.53,25.0,83.7,42.6,205.7,0.85,5.92
FLD-0692,5.86,41.8,106.2,64.1,161.9,1.5,6.47
FLD-0143,5.42,32.1,47.1,24.7,152.4,0.87,3.17
FLD-0718,6.4,35.5,111.7,60.6,161.2,1.7,5.66
FLD-0142,5.54,30.0,37.1,29.2,176.6,1.04,3.92
FLD-0545,7.72,17.3,55.1,29.2,235.5,0.57,4.63
FLD-0321,6.99,21.4,67.9,53.7,213.9,1.11,4.93
FLD-0020,5.39,26.3,32.9,25.9,165.1,1.08,4.8
FLD-0173,5.27,28.8,35.3,18.7,191.1,0.77,3.69
FLD-0611,5.79,34.5,106.2,74.1,187.1,1.71,7.52
FLD-0313,6.16,24.1,78.0,45.2,241.2,1.32,6.2
FLD-0698,5.84,36.3,105.2,59.2,175.0,1.86,6.91
FLD-0013,5.12,32.6,37.2,24.1,158.7,0.8,3.57
FLD-0306,6.55,24.8,85.8,49.9,227.7,1.2,5.62
FLD-0355,6.86,23.1,93.5,42.7,208.9,1.21,5.74
FLD-0026,5.5,36.1,42.3,23.3,155.1,0.96,3.32
