Product_ID,Annual_Units_Sold,Average_Unit_Price_INR,Annual_Revenue_Lakh_INR,Gross_Margin_Percent,Return_Rate_Percent,Stockout_Days_Per_Year,Supplier_Lead_Time_Days,Average_Customer_Rating
PRD-0247,1981,572.0,11.32,19.3,4.5,2,7,4.29
PRD-0578,857,1056.0,9.05,20.3,16.6,9,16,3.36
PRD-0050,1813,340.0,6.16,16.7,3.4,1,12,4.52
PRD-0849,3800,999.0,37.95,30.9,1.9,11,31,4.2
PRD-0085,1499,663.0,9.94,16.9,1.8,2,11,4.33
PRD-0449,215,5521.0,11.87,42.2,9.5,1,23,4.05
PRD-0935,2954,761.0,22.49,26.4,5.0,10,26,3.76
PRD-0897,4258,784.0,33.36,35.0,6.6,12,34,3.89
PRD-0610,875,2019.0,17.67,19.8,18.6,11,14,3.0
PRD-0390,165,6052.0,9.99,35.9,9.7,1,26,4.77
PRD-0628,763,1204.0,9.19,23.1,15.8,9,18,3.28
PRD-0082,1170,583.0,6.82,15.4,4.6,1,7,4.71
PRD-0300,168,8366.0,14.06,37.1,5.0,0,20,4.21
PRD-0633,625,1318.0,8.24,21.3,17.6,8,16,3.62
PRD-0186,1685,561.0,9.45,21.3,5.3,2,7,4.19
PRD-0590,898,1545.0,13.87,19.8,15.5,6,16,3.17
PRD-0091,1310,497.0,6.5,19.7,4.9,3,9,4.33
PRD-0515,769,1112.0,8.55,24.6,20.2,9,12,3.2
PRD-0840,3228,924.0,29.82,32.9,5.4,10,29,4.01
PRD-0466,135,10190.0,13.76,41.4,7.0,2,25,4.3
PRD-0366,170,5914.0,10.05,34.9,7.0,2,23,4.2
PRD-0857,3100,950.0,29.44,36.0,7.0,12,33,4.25
PRD-0981,2334,836.0,19.51,36.2,5.5,6,29,4.06
PRD-0982,3174,881.0,27.96,33.1,0.2,13,36,4.18
PRD-0427,153,7080.0,10.83,38.7,7.2,1,28,4.14
PRD-0997,2021,1254.0,25.35,31.9,6.2,11,34,4.21
PRD-0135,945,396.0,3.75,19.9,1.6,5,6,4.12
PRD-0025,1338,693.0,9.28,13.6,2.3,3,6,4.42
PRD-0329,150,6346.0,9.52,41.2,8.9,2,24,4.35
PRD-0808,2768,891.0,24.67,27.5,5.1,18,27,3.94
PRD-0073,2417,549.0,13.27,19.6,5.5,2,11,4.54
PRD-0332,187,5850.0,10.94,38.7,9.1,1,25,4.09
PRD-0983,4556,945.0,43.04,31.0,7.0,11,30,4.03
PRD-0533,664,1282.0,8.51,23.1,17.1,8,13,3.29
PRD-0068,1649,557.0,9.18,21.4,4.9,3,10,4.29
PRD-0619,499,1335.0,6.66,21.7,18.7,8,14,3.13
PRD-0697,631,1522.0,9.6,27.7,15.4,10,15,3.21
PRD-0659,895,1301.0,11.64,17.2,17.9,10,13,3.09
PRD-0741,591,899.0,5.31,20.4,15.0,7,13,2.92
PRD-0949,3659,946.0,34.6,28.2,4.5,6,33,3.68
PRD-0452,143,7475.0,10.69,36.2,9.0,0,21,4.1
PRD-0559,1141,986.0,11.25,17.8,16.1,5,12,3.47
PRD-0542,656,856.0,5.61,21.7,19.6,4,12,3.22
PRD-0137,1713,459.0,7.86,18.2,6.4,5,3,3.97
PRD-0393,132,10111.0,13.35,45.0,11.8,0,25,4.31
PRD-0666,595,1104.0,6.57,21.5,15.9,6,20,3.02
PRD-0330,157,7549.0,11.85,37.0,8.4,0,20,3.87
PRD-0496,117,7274.0,8.51,40.8,9.2,0,27,4.21
PRD-0588,519,1130.0,5.87,24.0,18.8,10,18,3.01
PRD-0702,1131,1073.0,12.13,21.4,15.4,5,12,3.19
PRD-0344,155,6431.0,9.97,33.0,6.3,4,18,4.13
PRD-0026,1637,413.0,6.77,14.9,0.2,6,11,4.44
PRD-0333,150,4858.0,7.29,42.8,5.5,0,29,4.24
PRD-0038,1873,358.0,6.7,19.7,3.7,4,14,4.58
PRD-0582,912,1074.0,9.79,24.8,17.2,9,13,3.48
PRD-0904,3448,757.0,26.1,34.6,5.1,15,29,4.49
PRD-0278,169,5979.0,10.1,42.2,8.5,0,20,4.14
PRD-0120,2470,531.0,13.12,21.3,1.1,1,8,4.08
PRD-0013,1816,416.0,7.56,21.2,2.3,5,7,4.57
PRD-0413,189,7332.0,13.86,41.0,6.5,1,19,4.26
PRD-0285,167,6162.0,10.29,41.6,9.3,0,28,4.26
PRD-0160,1958,294.0,5.76,19.5,0.3,1,9,4.22
PRD-0797,4395,965.0,42.4,26.2,6.4,11,35,3.85
PRD-0043,1509,649.0,9.8,15.4,1.2,3,6,4.01
PRD-0569,707,1211.0,8.56,20.8,14.7,9,11,3.34
PRD-0041,1454,372.0,5.41,14.3,2.1,2,4,4.65
PRD-0921,2816,1029.0,28.97,39.4,5.1,12,33,4.18
PRD-0127,2067,438.0,9.05,19.5,1.6,4,4,4.36
PRD-0271,191,5968.0,11.4,45.9,9.3,0,23,4.24
PRD-0476,112,6858.0,7.68,39.4,7.7,1,20,4.27
PRD-0545,743,1339.0,9.95,27.1,15.1,6,13,3.12
PRD-0640,576,1330.0,7.66,21.7,17.9,7,14,2.82
PRD-0005,1872,570.0,10.67,22.2,2.7,4,3,4.2
PRD-0676,644,1277.0,8.22,24.3,16.9,11,14,3.62
PRD-0115,2097,507.0,10.63,19.5,3.4,5,6,4.56
PRD-0864,3404,642.0,21.85,31.0,3.5,15,27,3.86
PRD-0357,170,7743.0,13.16,37.3,9.8,0,25,3.79
PRD-0662,675,1130.0,7.63,20.5,19.6,9,15,3.21
PRD-0416,114,4942.0,5.63,33.7,8.2,0,25,4.15
PRD-0520,740,1471.0,10.89,27.4,18.1,6,21,3.48
PRD-0275,147,7354.0,10.81,33.5,8.0,1,26,4.32
PRD-0401,166,8586.0,14.25,35.4,7.4,5,24,4.04
PRD-0861,3467,998.0,34.62,31.2,7.7,17,29,3.84
PRD-0023,1502,439.0,6.59,20.8,0.8,2,7,4.03
PRD-0422,140,5355.0,7.5,33.4,10.5,0,24,4.14
PRD-0925,2394,1093.0,26.17,37.7,5.9,16,30,4.38
PRD-0796,2520,910.0,22.94,37.2,3.6,12,29,3.93
PRD-0899,3272,892.0,29.17,32.7,6.5,16,35,4.06
PRD-0289,158,6909.0,10.92,36.5,10.1,0,24,4.16
PRD-0731,630,1617.0,10.19,17.1,16.4,8,15,3.43
PRD-0561,1142,1622.0,18.53,21.7,16.6,6,17,2.8
PRD-0321,114,6685.0,7.62,38.1,8.7,0,20,4.12
PRD-0421,155,8621.0,13.36,39.6,10.3,0,24,4.23
PRD-0196,1552,356.0,5.52,16.9,5.2,1,4,4.36
PRD-0003,1276,329.0,4.2,19.1,2.2,5,3,4.16
PRD-0930,3115,839.0,26.14,31.5,6.5,13,32,3.81
PRD-0367,208,7270.0,15.12,35.0,10.8,0,23,4.18
PRD-0655,532,1250.0,6.65,18.1,14.9,8,11,3.15
PRD-0805,3169,1064.0,33.71,30.8,5.1,10,30,4.39
PRD-0335,138,6116.0,8.44,33.3,5.5,2,20,4.27
PRD-0319,146,6653.0,9.71,36.3,7.8,1,27,4.11
PRD-0989,2602,906.0,23.57,36.6,8.9,8,34,4.32
PRD-0955,3260,1110.0,36.2,28.7,4.0,14,31,3.87
PRD-0707,509,1261.0,6.42,22.9,17.1,5,14,3.36
PRD-0198,1685,341.0,5.74,17.2,7.0,3,9,4.48
PRD-0951,2462,985.0,24.25,34.6,4.5,14,33,4.2
PRD-0218,2497,493.0,12.31,25.4,3.7,5,6,4.41
PRD-0204,1540,445.0,6.86,18.7,1.3,3,7,4.32
PRD-0600,749,1167.0,8.74,27.0,17.0,10,9,3.39
PRD-0195,2183,557.0,12.17,19.0,0.2,3,8,4.67
PRD-0761,3574,929.0,33.22,28.1,6.5,10,29,3.86
PRD-0541,852,1334.0,11.36,20.6,14.4,8,11,3.39
PRD-0540,737,1587.0,11.7,27.1,17.5,9,12,2.96
PRD-0571,815,1333.0,10.87,21.6,17.8,15,14,2.96
PRD-0708,746,1510.0,11.26,24.8,13.8,6,11,3.12
PRD-0690,998,953.0,9.51,28.8,14.6,9,18,3.54
PRD-0714,602,898.0,5.41,21.4,19.3,11,14,3.03
PRD-0960,2813,1004.0,28.26,29.5,4.2,10,25,3.99
PRD-0839,3616,735.0,26.59,32.3,2.0,9,29,4.22
PRD-0169,1569,408.0,6.4,18.9,5.0,1,5,4.33
PRD-0906,3025,724.0,21.9,31.6,5.9,8,32,4.35
PRD-0242,2304,529.0,12.18,22.1,3.4,1,7,4.07
PRD-0626,817,1109.0,9.06,28.4,20.3,6,20,3.2
PRD-0472,85,9131.0,7.76,31.5,5.9,0,26,4.01
PRD-0643,463,1646.0,7.62,26.9,22.7,4,10,3.21
PRD-0252,1429,347.0,4.97,14.6,6.4,2,8,4.62
PRD-0065,1645,315.0,5.18,17.3,4.2,4,12,4.39
PRD-0241,1498,467.0,6.99,22.2,3.3,3,8,4.61
PRD-0821,2107,984.0,20.74,30.9,1.5,11,30,4.3
PRD-0353,204,9274.0,18.92,43.7,7.1,2,21,3.85
PRD-0132,1694,528.0,8.95,15.7,6.6,1,9,4.26
PRD-0455,146,6932.0,10.12,38.6,9.9,0,22,4.43
PRD-0033,1390,499.0,6.94,14.9,5.4,2,8,4.16
PRD-0969,3733,924.0,34.49,25.6,4.3,9,34,3.97
PRD-0985,3509,682.0,23.94,31.8,5.6,12,37,4.13
PRD-0488,162,5864.0,9.5,37.4,11.1,1,23,4.06
PRD-0820,3409,850.0,28.98,30.0,6.7,10,33,3.63
PRD-0134,2096,393.0,8.24,19.9,2.7,2,11,4.25
PRD-0237,1980,332.0,6.57,20.6,2.6,1,6,4.17
PRD-0191,2096,381.0,7.98,20.6,4.6,2,10,4.34
PRD-0567,937,1029.0,9.64,17.5,17.4,11,14,3.19
PRD-0681,693,1547.0,10.72,28.7,13.9,12,12,3.35
PRD-0671,907,1112.0,10.08,20.7,19.5,8,7,3.09
PRD-0517,637,1619.0,10.31,25.0,19.0,14,15,3.19
PRD-0021,2692,349.0,9.39,21.3,5.9,3,10,4.35
PRD-0183,1409,489.0,6.88,23.5,3.5,3,10,4.29
PRD-0866,2859,1154.0,33.01,34.3,5.7,6,32,3.82
PRD-0338,246,6289.0,15.47,37.7,13.5,0,22,4.05
PRD-0799,2599,861.0,22.39,35.8,7.3,16,28,4.11
PRD-0724,855,1638.0,14.0,24.5,17.9,7,18,3.22
PRD-0249,1482,435.0,6.44,14.6,4.7,1,7,4.07
PRD-0802,3004,734.0,22.04,31.6,1.1,10,34,4.18
PRD-0589,1250,1109.0,13.86,26.5,18.8,9,9,3.29
PRD-0653,616,1100.0,6.78,28.2,16.3,15,8,3.21
PRD-0537,672,1561.0,10.49,17.6,16.2,4,13,3.27
PRD-0470,135,5661.0,7.64,38.6,6.8,3,31,4.29
PRD-0409,121,7750.0,9.38,34.1,4.3,0,24,4.27
PRD-0744,860,1427.0,12.27,26.0,15.6,2,21,3.4
PRD-0505,679,1488.0,10.11,22.3,16.3,10,11,2.68
PRD-0920,3144,1065.0,33.5,35.0,8.5,16,27,4.3
PRD-0694,679,1279.0,8.69,21.1,17.0,10,16,3.3
PRD-0688,596,1400.0,8.35,18.9,16.5,10,9,3.03
PRD-0398,209,7815.0,16.33,36.5,7.3,0,26,4.24
PRD-0908,2507,887.0,22.23,32.7,7.2,9,33,4.27
PRD-0406,231,5234.0,12.09,35.8,12.3,0,26,4.34
PRD-0376,164,5002.0,8.2,37.2,7.4,1,31,4.21
PRD-0424,183,7007.0,12.82,41.4,11.4,2,27,4.24
PRD-0311,169,8700.0,14.7,33.8,6.0,1,22,3.94
PRD-0143,1266,365.0,4.62,10.4,0.2,2,3,4.34
PRD-0876,2902,1032.0,29.94,27.8,7.9,14,31,3.99
PRD-0772,3147,784.0,24.67,31.4,4.1,11,28,4.09
PRD-0388,184,5419.0,9.97,30.8,7.9,1,18,4.04
PRD-0891,3383,707.0,23.93,31.1,6.1,9,31,3.95
PRD-0108,1382,345.0,4.77,16.6,8.0,7,8,4.04
PRD-0126,1637,521.0,8.53,19.5,1.6,4,3,4.36
PRD-0836,2794,883.0,24.67,30.0,4.9,10,30,3.83
PRD-0383,167,7306.0,12.2,37.0,9.1,0,24,4.24
PRD-0527,430,1277.0,5.49,25.6,17.9,10,17,3.16
PRD-0556,674,1284.0,8.66,19.1,15.3,11,12,3.16
PRD-0782,3188,722.0,23.02,27.4,4.8,9,30,3.86
PRD-0371,218,6594.0,14.38,35.3,7.2,0,27,3.96
PRD-0915,3063,1172.0,35.91,25.9,5.9,16,33,4.17
PRD-0932,2847,747.0,21.26,21.7,2.5,10,32,4.01
PRD-0066,2325,421.0,9.79,12.0,4.8,3,11,4.44
PRD-0946,3592,1061.0,38.1,28.6,7.3,15,33,4.33
PRD-0902,2552,1161.0,29.63,30.8,7.1,16,32,4.11
PRD-0825,3196,820.0,26.21,32.9,4.3,18,26,4.13
PRD-0287,184,7434.0,13.68,42.8,8.2,2,24,4.31
PRD-0128,1620,510.0,8.26,12.6,6.7,4,9,4.4
PRD-0254,1919,485.0,9.3,16.7,0.3,2,14,4.47
PRD-0656,742,1447.0,10.74,19.6,17.2,9,17,3.5
PRD-0381,179,8134.0,14.56,39.7,7.5,1,26,4.14
PRD-0059,2809,463.0,12.99,20.4,1.2,5,7,4.12
PRD-0052,1722,591.0,10.18,22.4,0.3,3,10,4.4
PRD-0206,2642,421.0,11.12,19.3,2.7,2,13,4.35
PRD-0054,1591,422.0,6.72,12.6,1.0,2,3,4.2
PRD-0231,1779,436.0,7.75,17.5,1.0,4,6,4.4
PRD-0443,149,5780.0,8.61,29.4,8.1,4,25,4.06
PRD-0753,1009,1817.0,18.33,27.0,15.2,11,13,3.28
PRD-0728,778,940.0,7.31,24.5,18.2,5,14,3.14
PRD-0279,142,5097.0,7.24,39.9,8.0,0,30,4.24
PRD-0226,1771,522.0,9.25,19.0,5.2,2,9,4.33
PRD-0165,2223,476.0,10.57,20.3,0.2,3,3,4.1
PRD-0267,162,6543.0,10.6,33.7,11.4,3,26,3.98
PRD-0339,158,7847.0,12.4,41.4,8.7,0,28,3.97
PRD-0639,582,1411.0,8.21,28.9,19.6,7,11,3.24
PRD-0309,197,7896.0,15.55,37.8,10.0,0,28,4.25
PRD-0185,2899,450.0,13.04,11.4,5.5,3,7,4.58
PRD-0651,729,1305.0,9.51,20.3,15.3,8,14,3.15
PRD-0780,2528,893.0,22.57,27.8,4.4,9,30,3.95
PRD-0757,4524,1002.0,45.33,32.4,1.6,8,32,3.95
PRD-0777,2636,799.0,21.06,38.6,5.7,11,32,3.76
PRD-0140,2269,492.0,11.16,12.9,3.9,2,5,4.45
PRD-0272,141,5841.0,8.24,36.3,10.0,1,24,4.58
PRD-0045,2027,264.0,5.36,20.3,3.9,5,7,4.36
PRD-0597,598,1208.0,7.23,23.0,15.6,6,10,3.2
PRD-0404,219,5255.0,11.51,42.6,7.7,1,25,4.15
PRD-0407,209,8444.0,17.65,40.1,8.9,1,21,4.41
PRD-0732,643,1230.0,7.91,29.1,17.4,7,16,3.43
PRD-0789,3116,796.0,24.79,37.5,6.3,16,30,4.01
PRD-0497,207,5266.0,10.9,41.3,8.1,2,23,4.01
PRD-0494,256,5071.0,12.98,37.4,7.4,0,29,3.96
PRD-0539,638,1517.0,9.68,21.9,14.0,8,15,2.97
PRD-0750,858,1263.0,10.84,26.0,13.7,8,19,3.35
PRD-0250,1671,442.0,7.38,16.2,1.6,4,7,4.17
PRD-0048,1973,443.0,8.74,13.4,0.2,4,5,4.32
PRD-0516,956,1281.0,12.24,25.8,21.0,4,11,3.2
PRD-0715,605,1227.0,7.43,24.6,19.4,12,11,3.3
PRD-0402,108,6699.0,7.23,30.9,11.9,5,27,4.07
PRD-0101,1086,404.0,4.39,19.3,3.4,1,3,4.49
PRD-0316,206,5375.0,11.07,36.9,7.0,1,24,4.25
PRD-0669,907,1160.0,10.52,28.1,13.4,8,22,3.37
PRD-0174,1815,285.0,5.18,13.1,3.0,1,6,4.37
PRD-0405,100,7259.0,7.26,37.4,6.3,1,24,4.17
PRD-0929,3997,763.0,30.49,29.2,6.8,14,31,4.4
PRD-0693,924,1262.0,11.66,26.4,15.6,7,17,3.05
PRD-0646,699,1233.0,8.62,26.1,19.4,9,17,3.03
PRD-0071,1238,551.0,6.82,13.1,0.6,0,9,4.44
PRD-0877,3287,1001.0,32.9,25.1,7.7,10,35,3.93
PRD-0939,4760,1006.0,47.89,31.9,8.0,11,23,3.59
PRD-0895,4421,909.0,40.19,31.9,6.2,12,30,4.19
PRD-0914,2480,888.0,22.01,33.3,6.1,8,34,3.93
PRD-0504,794,1510.0,11.99,27.7,17.6,8,10,3.29
PRD-0718,507,1566.0,7.94,28.1,13.9,11,16,3.53
PRD-0830,2532,750.0,18.99,35.1,5.4,12,31,4.32
PRD-0211,1665,440.0,7.32,14.9,6.3,6,5,4.44
PRD-0586,759,934.0,7.09,27.1,15.3,2,11,3.55
PRD-0458,142,5819.0,8.26,38.2,11.3,0,24,4.27
PRD-0113,1398,472.0,6.6,18.1,2.7,2,11,4.35
PRD-0346,195,6941.0,13.53,34.7,10.8,0,22,4.41
PRD-0368,175,6567.0,11.49,41.3,11.0,2,22,4.14
PRD-0328,114,7728.0,8.81,39.6,9.2,1,22,3.84
PRD-0687,658,1351.0,8.89,17.6,12.8,7,11,3.12
PRD-0945,2396,712.0,17.06,31.2,2.4,14,33,4.14
PRD-0922,3980,1503.0,59.84,25.8,10.9,20,33,3.93
PRD-0591,1043,1487.0,15.51,28.4,19.8,5,12,3.7
PRD-0030,1422,340.0,4.83,22.0,0.6,2,8,4.9
PRD-0601,725,1784.0,12.93,20.2,17.7,7,15,3.42
PRD-0585,1031,1045.0,10.78,20.3,17.8,12,14,3.19
PRD-0667,697,860.0,5.99,30.5,14.6,13,17,3.3
PRD-0843,3408,851.0,29.01,27.9,7.6,7,28,4.02
PRD-0480,108,5807.0,6.27,33.7,6.0,0,23,4.18
PRD-0801,3466,796.0,27.58,26.9,4.8,11,26,4.05
PRD-0042,1699,417.0,7.08,16.1,4.9,4,3,4.5
PRD-0790,2788,882.0,24.58,31.9,7.5,11,34,3.9
PRD-0083,1914,404.0,7.74,16.8,0.2,2,7,4.23
PRD-0432,117,5425.0,6.35,34.3,7.0,0,20,4.26
PRD-0499,110,7128.0,7.84,32.1,9.5,3,25,4.43
PRD-0246,1718,567.0,9.75,18.3,4.2,0,5,4.21
PRD-0680,792,1422.0,11.26,18.1,16.8,11,13,3.27
PRD-0874,3428,1172.0,40.17,27.1,6.3,13,36,4.0
PRD-0566,840,1257.0,10.56,25.8,15.5,8,15,3.61
PRD-0184,1604,480.0,7.7,20.7,2.9,1,3,4.12
PRD-0563,667,1126.0,7.51,29.6,20.1,7,14,3.24
PRD-0918,3239,873.0,28.27,28.3,4.0,5,34,3.95
PRD-0641,615,1044.0,6.42,24.6,14.6,7,11,3.16
PRD-0259,1275,547.0,6.97,13.5,4.1,1,12,4.36
PRD-0833,3428,1401.0,48.02,24.2,9.8,6,33,4.03
PRD-0760,3713,879.0,32.65,31.0,6.5,7,36,4.02
PRD-0428,120,9023.0,10.83,31.8,7.0,1,28,4.48
PRD-0060,1237,343.0,4.24,18.9,2.2,2,14,4.51
PRD-0903,4028,751.0,30.25,25.3,2.9,16,34,4.38
PRD-0917,3292,762.0,25.07,35.3,5.3,6,32,3.85
PRD-0395,156,8401.0,13.11,41.5,9.1,2,24,4.36
PRD-0303,163,8939.0,14.57,35.5,6.8,0,29,4.11
PRD-0391,158,7084.0,11.19,42.5,15.2,0,21,4.21
PRD-0419,109,4940.0,5.39,36.2,5.4,0,28,4.13
PRD-0709,835,830.0,6.93,20.4,17.0,8,12,3.2
PRD-0293,212,7038.0,14.92,32.0,11.1,0,26,3.86
PRD-0373,220,8467.0,18.63,34.2,10.5,2,22,4.08
PRD-0159,2260,465.0,10.51,16.9,1.1,2,9,4.38
PRD-0859,2849,1014.0,28.89,34.2,5.1,11,32,3.67
PRD-0535,638,1184.0,7.56,28.9,15.0,9,16,3.15
PRD-0858,3854,813.0,31.33,32.6,5.3,7,27,4.23
PRD-0258,1697,313.0,5.31,23.3,5.3,1,9,4.46
PRD-0123,2123,415.0,8.81,16.4,2.2,4,3,4.0
PRD-0658,944,946.0,8.93,22.8,17.3,9,12,3.14
PRD-0998,4835,887.0,42.87,26.8,5.5,10,30,4.05
PRD-0730,907,2159.0,19.58,23.7,17.6,7,16,3.11
PRD-0522,793,1006.0,7.97,24.1,17.9,8,10,3.83
PRD-0340,154,7162.0,11.03,39.0,8.5,1,24,4.19
PRD-0632,530,1631.0,8.65,23.1,15.7,8,13,3.42
PRD-0679,732,1096.0,8.03,24.9,16.8,7,11,3.33
PRD-0713,792,1574.0,12.47,22.6,18.2,8,8,3.02
PRD-0465,183,8369.0,15.31,39.0,9.1,1,26,3.47
PRD-0575,636,1386.0,8.82,29.5,15.1,10,9,3.23
PRD-0248,1563,462.0,7.22,14.3,3.1,2,12,4.69
PRD-0313,265,5813.0,15.4,31.9,10.0,2,29,4.03
PRD-0650,683,1425.0,9.74,22.6,15.0,10,20,2.92
PRD-0773,4056,937.0,38.0,31.3,2.4,14,28,4.07
PRD-0786,2120,740.0,15.68,32.7,5.1,12,30,3.96
PRD-0771,3552,1005.0,35.68,30.7,6.0,7,35,4.06
PRD-0844,5784,1133.0,65.51,31.5,4.9,10,33,3.97
PRD-0811,3280,1081.0,35.44,35.0,4.3,12,36,4.02
PRD-0161,2274,328.0,7.46,15.4,3.3,2,9,4.55
PRD-0550,679,1277.0,8.67,26.6,18.3,10,12,3.05
PRD-0952,1886,925.0,17.45,34.9,6.9,14,31,3.92
PRD-0692,647,1070.0,6.92,20.4,16.3,9,19,2.96
PRD-0838,4048,811.0,32.81,30.8,6.1,8,30,4.38
PRD-0018,2161,431.0,9.3,24.8,3.6,2,11,4.2
PRD-0479,165,6284.0,10.37,32.1,9.4,4,16,4.05
PRD-0158,1963,386.0,7.58,17.2,2.1,2,3,4.17
PRD-0180,1804,356.0,6.42,19.1,3.7,2,6,4.03
PRD-0067,2420,395.0,9.55,19.1,0.2,1,7,4.57
PRD-0824,2666,1077.0,28.72,33.7,6.7,10,29,4.03
PRD-0144,2343,343.0,8.03,19.1,2.2,6,10,4.54
PRD-0700,840,1163.0,9.77,24.0,17.3,2,19,3.2
PRD-0077,2522,385.0,9.7,11.8,3.8,4,10,4.35
PRD-0975,4106,987.0,40.53,29.3,8.2,16,31,4.44
PRD-0326,159,9367.0,14.89,37.4,5.3,1,24,4.11
PRD-0192,2067,400.0,8.28,24.6,5.3,1,9,4.5
PRD-0478,155,5275.0,8.18,38.4,7.2,0,20,4.18
PRD-0277,162,7603.0,12.32,40.4,8.0,0,25,4.28
PRD-0170,1618,482.0,7.8,12.5,3.2,3,4,4.18
PRD-0502,689,1320.0,9.09,26.4,16.0,4,12,3.33
PRD-0173,1569,399.0,6.26,20.4,1.0,0,6,4.67
PRD-0606,739,1363.0,10.08,25.1,14.5,10,12,3.15
PRD-0446,113,7516.0,8.49,38.2,5.2,0,25,3.93
PRD-0040,2155,385.0,8.3,14.6,2.3,6,4,3.76
PRD-0645,522,1434.0,7.49,26.8,15.3,5,16,3.03
PRD-0785,2889,888.0,25.65,29.6,7.9,7,30,4.5
PRD-0221,1416,491.0,6.95,19.7,2.6,2,10,4.51
PRD-0325,107,6518.0,6.97,40.1,7.4,1,22,4.25
PRD-0097,2524,413.0,10.42,19.7,4.6,6,14,4.41
PRD-0286,125,8659.0,10.82,38.2,9.8,2,27,4.65
PRD-0611,961,1447.0,13.91,20.9,16.7,10,11,3.19
PRD-0489,139,7749.0,10.77,40.5,7.7,1,22,4.19
PRD-0103,2401,643.0,15.43,15.9,6.9,2,8,4.48
PRD-0592,809,1366.0,11.05,29.6,15.0,7,13,3.29
PRD-0412,181,5963.0,10.79,37.3,8.3,2,22,4.18
PRD-0629,767,1149.0,8.81,22.1,16.6,12,11,3.1
PRD-1000,2242,944.0,21.16,30.3,8.9,9,31,4.05
PRD-0190,1821,548.0,9.97,22.0,2.9,5,12,4.49
PRD-0652,753,1532.0,11.54,23.7,16.2,11,13,3.16
PRD-0498,177,6131.0,10.85,37.4,7.6,0,24,4.35
PRD-0431,229,4496.0,10.3,36.2,4.1,1,27,3.9
PRD-0178,2369,366.0,8.67,8.0,4.0,3,5,4.12
PRD-0615,971,1205.0,11.7,23.2,16.1,8,19,3.73
PRD-0736,766,1438.0,11.02,28.8,17.9,9,15,3.41
PRD-0740,753,1371.0,10.32,22.4,15.4,6,15,3.11
PRD-0795,2673,645.0,17.24,32.6,7.4,15,32,4.18
PRD-0112,2189,333.0,7.3,18.8,2.2,2,8,4.27
PRD-0884,3924,828.0,32.5,30.1,4.3,8,27,4.36
PRD-0898,3028,1104.0,33.42,31.3,5.5,9,33,3.99
PRD-0131,1753,362.0,6.35,18.1,0.2,3,6,4.38
PRD-0580,492,1012.0,4.98,25.7,18.1,5,13,3.37
PRD-0992,2008,850.0,17.07,36.3,6.1,15,34,4.05
PRD-0990,1964,1178.0,23.14,31.4,7.0,16,35,4.2
PRD-0521,598,971.0,5.81,25.4,20.5,7,17,3.13
PRD-0762,2966,669.0,19.83,29.8,4.4,23,28,4.18
PRD-0900,3721,814.0,30.3,30.0,4.2,8,32,4.14
PRD-0931,4327,892.0,38.6,30.7,1.1,12,32,4.08
PRD-0893,2990,785.0,23.48,25.5,3.1,11,35,4.31
PRD-0157,1805,310.0,5.6,18.7,3.4,2,10,4.57
PRD-0737,892,1324.0,11.81,21.4,18.9,8,15,3.13
